samples,dimension,percentage,success
10,1,100.0,1
10,2,100.0,1
10,3,100.0,1
10,4,100.0,1
10,5,20.0,1
10,6,66.67,1
10,7,71.43,1
10,8,87.5,1
10,9,11.11,1
10,10,70.0,1
10,11,54.55,1
10,12,33.33,1
10,13,46.15,1
10,14,71.43,1
10,15,66.67,1
10,16,50.0,1
10,17,47.06,1
10,18,61.11,1
10,19,42.11,1
10,20,40.0,1
10,21,33.33,1
10,22,45.45,1
10,23,65.22,1
10,24,37.5,1
10,25,52.0,1
10000,1,100.0,1
10000,2,100.0,1
10000,3,100.0,1
10000,4,100.0,1
10000,5,100.0,1
10000,6,100.0,1
10000,7,100.0,1
10000,8,100.0,1
10000,9,100.0,1
10000,10,100.0,1
10000,11,90.91,0
10000,12,75.0,0
10000,13,76.92,0
10000,14,92.86,0
10000,15,60.0,0
10000,16,37.5,0
10000,17,58.82,0
10000,18,38.89,0
10000,19,47.37,0
10000,20,65.0,0
10000,21,47.62,0
10000,22,63.64,0
10000,23,60.87,0
10000,24,41.67,0
10000,25,48.0,0
100000,1,100.0,1
100000,2,100.0,1
100000,3,100.0,1
100000,4,100.0,1
100000,5,100.0,1
100000,6,100.0,1
100000,7,100.0,1
100000,8,100.0,1
100000,9,100.0,1
100000,10,100.0,1
100000,11,100.0,1
100000,12,100.0,1
100000,13,100.0,1
100000,14,100.0,1
100000,15,80.0,0
100000,16,93.75,0
100000,17,70.59,0
100000,18,50.0,0
100000,19,57.89,0
100000,20,65.0,0
100000,21,38.1,0
100000,22,45.45,0
100000,23,52.17,0
100000,24,66.67,0
100000,25,52.0,0
1000000,1,100.0,1
1000000,2,100.0,1
1000000,3,100.0,1
1000000,4,100.0,1
1000000,5,100.0,1
1000000,6,100.0,1
1000000,7,100.0,1
1000000,8,100.0,1
1000000,9,100.0,1
1000000,10,100.0,1
1000000,11,100.0,1
1000000,12,100.0,1
1000000,13,100.0,1
1000000,14,100.0,1
1000000,15,100.0,1
1000000,16,100.0,1
1000000,17,100.0,1
1000000,18,83.33,0
1000000,19,63.16,0
1000000,20,65.0,0
1000000,21,80.95,0
1000000,22,45.45,0
1000000,23,52.17,0
1000000,24,50.0,0
1000000,25,84.0,0
10000000,1,100.0,1
10000000,2,100.0,1
10000000,3,100.0,1
10000000,4,100.0,1
10000000,5,100.0,1
10000000,6,100.0,1
10000000,7,100.0,1
10000000,8,100.0,1
10000000,9,100.0,1
10000000,10,100.0,1
10000000,11,100.0,1
10000000,12,100.0,1
10000000,13,100.0,1
10000000,14,100.0,1
10000000,15,100.0,1
10000000,16,100.0,1
10000000,17,100.0,1
10000000,18,100.0,1
10000000,19,100.0,1
10000000,20,100.0,1
10000000,21,95.24,0
10000000,22,95.45,0
10000000,23,65.22,0
10000000,24,45.83,0
10000000,25,76.0,0
